cause,effect,n_obs,adf_p_cause,adf_p_effect,maxlag_searched,lag_aic,lag_bic,lag_used_bic,bic_lag_floored,F_bic,df_num_bic,df_denom_bic,p_bic,chi2_bic,chi2_p_bic,hac_F_bic,hac_p_bic,hac_maxlags,sig_raw_bic,sig_raw_hac_bic,lag_used_aic,aic_lag_floored,aic_at_boundary,F_aic,p_aic,sig_raw_aic,p_bic_fdr_bh,p_bic_bonf,sig_fdr_bh,sig_bonf,hac_p_bic_fdr_bh,sig_hac_fdr_bh,alignment_robust
005930.KS,8046.TW,1250,8.911787422369986e-10,0.0,10,2,2,2,False,2.0931154226162496,2,1243,0.12373678481949568,4.203070068262397,0.12226859765610004,1.31978909536301,0.2675658020147647,6,False,False,2,False,False,2.0931154226162496,0.12373678481949568,False,0.2651502531846336,1.0,False,False,0.49474958973505784,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,AMKR,1250,8.911787422369986e-10,7.046795987286572e-14,10,10,2,2,False,25.05442343101436,2,1243,2.1508116922429174e-11,50.31041100869819,1.1891401924067132e-11,12.44043045157734,4.472519268443315e-06,6,True,True,10,False,True,9.57710780214591,1.711525096723586e-15,True,4.516704553710126e-09,4.516704553710127e-09,True,True,0.00046961452318654805,True,"alignment-sensitive, not interpreted as lead-lag"
005930.KS,INTC,1250,8.911787422369986e-10,0.0,10,10,2,2,False,11.409805869146215,2,1243,1.2294766619596988e-05,22.91140422316086,1.0588922911677885e-05,7.31845609438691,0.0006921538784970282,6,True,True,10,False,True,6.324548616027109,1.6083252059414868e-09,True,0.00014343894389529818,0.0025819009901153676,True,True,0.009084519655273494,True,"alignment-sensitive, not interpreted as lead-lag"
2330.TW,002156.SZ,1250,6.3567608108805994e-18,0.0,10,0,0,1,True,0.014158144136836266,1,1246,0.9053040430425197,0.014192232766379211,0.9051714461328407,0.010924147942827797,0.9167745909949038,6,False,False,1,True,False,0.014158144136836266,0.9053040430425197,False,0.9365214238370893,1.0,False,False,0.9483875079257625,False,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,002185.SZ,1250,6.3567608108805994e-18,0.0,10,0,0,1,True,0.3308849720694902,1,1246,0.565242304716703,0.3316816453569769,0.5646705481785578,0.29546787888037646,0.5868349398807682,6,False,False,1,True,False,0.3308849720694902,0.565242304716703,False,0.7064939474010685,1.0,False,False,0.7468808325755232,False,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,005930.KS,1250,6.3567608108805994e-18,8.911787422369986e-10,10,10,2,2,False,3.4555411164813323,2,1243,0.03187382404123014,6.938882241944816,0.031134426177440135,2.6824029430941527,0.06879453980923589,6,True,False,10,False,True,2.513313908126559,0.0054238065161847,True,0.09952969373374011,1.0,False,False,0.23683366163835304,False,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,2449.TW,1250,6.3567608108805994e-18,0.0,10,2,0,1,True,10.333548646045475,1,1246,0.0013398465718908702,10.35842877922215,0.0012888485438160692,8.328711381250335,0.003969597028420658,6,True,True,2,False,False,9.062701220608359,0.0001237483420106403,True,0.00781577166936341,0.28136778009708274,True,False,0.02690122603007573,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,3037.TW,1250,6.3567608108805994e-18,2.227320134455109e-30,10,2,0,1,True,8.09957422419281,1,1246,0.004500101331665183,8.119075606755073,0.004380188769324277,7.37329510728066,0.006711437401990868,6,True,True,2,False,False,5.583000952144625,0.00385619714779314,True,0.021000472881104185,0.9450212796496883,True,False,0.04270914710357825,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,3189.TW,1250,6.3567608108805994e-18,0.0,10,2,0,1,True,14.037619971683274,1,1246,0.00018738459003671035,14.071418414632753,0.0001759980112638587,10.495114919125394,0.001228507433390109,6,True,True,2,False,False,9.116648685329123,0.00011734052385078519,True,0.0015134909195272759,0.039350763907709176,True,True,0.011726661864178312,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,3264.TWO,1250,6.3567608108805994e-18,7.79526395883989e-27,10,7,1,1,False,20.725755673681828,1,1246,5.8183880609910535e-06,20.77565717209358,5.163513230521391e-06,15.320269952207806,9.564685773361612e-05,6,True,True,7,False,False,6.14123090224392,4.473986863112956e-07,True,7.773043390131451e-05,0.0012218614928081212,True,True,0.0027359751921620028,True,"robust (intra-Asia, no cross-timezone shift)"
