alignment,cause,effect,n,lag,F,p,hac_F,hac_p
A_plus1bday (headline),INTC,005930.KS,1250,2,4.438820569220836,0.01199765131604251,2.406757676514524,0.09052677732630926
A_plus1bday (headline),4062.T,INTC,1250,1,24.623697422868155,7.934124613316741e-07,11.102439135179065,0.0008874290940188701
A_plus1bday (headline),INTC,4062.T,1250,1,4.77614584324738,0.0290423162101999,3.7570131443932864,0.0528120724441109
A_plus1bday (headline),AMKR,INTC,1250,1,0.6377735858658993,0.42467035534266395,0.5504411937507709,0.45827730109119635
A_plus1bday (headline),INTC,AMKR,1250,1,0.0023829869068232234,0.9610738766416115,0.001821837803204296,0.9659610762723763
B_minus1bday (reverse placebo),2330.TW,AMKR,1250,2,0.5646215026297458,0.5687210656177248,0.307897627465666,0.7350465967894451
B_minus1bday (reverse placebo),AMKR,2330.TW,1250,2,101.137962955784,2.015597125191672e-41,52.33139852478308,1.5103097908375592e-22
B_minus1bday (reverse placebo),3711.TW,AMKR,1250,2,1.7280380881308148,0.1780590243364264,1.8218382963606203,0.16215975720869752
B_minus1bday (reverse placebo),AMKR,3711.TW,1250,2,109.90689560795259,1.1189592338219993e-44,46.57551488013719,3.123069721202006e-20
B_minus1bday (reverse placebo),6239.TW,AMKR,1250,2,2.1003181344440045,0.12285172154149139,0.9682298642532061,0.380040881985212
B_minus1bday (reverse placebo),AMKR,6239.TW,1250,2,55.88280739605355,5.757417281878855e-24,23.589923309005677,8.803873510510785e-11
B_minus1bday (reverse placebo),2449.TW,AMKR,1250,2,2.4650805732211776,0.08541745676652866,1.8407829898643373,0.15912546351900525
B_minus1bday (reverse placebo),AMKR,2449.TW,1250,2,53.14346823009254,7.144540296682401e-23,23.48827162229303,9.709783230828023e-11
B_minus1bday (reverse placebo),3264.TWO,AMKR,1250,2,0.1957541984768462,0.8222396539962205,0.18047414195273662,0.8348961412932016
B_minus1bday (reverse placebo),AMKR,3264.TWO,1250,2,33.010419112996175,1.0752744829911338e-14,13.246360259275502,2.030616403696951e-06
B_minus1bday (reverse placebo),3037.TW,AMKR,1250,2,0.21174565061523054,0.8091996648750026,0.21743037406083693,0.8046142176492351
B_minus1bday (reverse placebo),AMKR,3037.TW,1250,2,49.29445329749373,2.5021480125264965e-21,29.316863144893425,3.622610345881627e-13
B_minus1bday (reverse placebo),8046.TW,AMKR,1250,2,0.27482733080013594,0.7597494399180742,0.18425307687076078,0.8317479989132917
B_minus1bday (reverse placebo),AMKR,8046.TW,1250,2,48.955436089704605,3.425792833056053e-21,30.723733341055468,9.466261116447226e-14
B_minus1bday (reverse placebo),3189.TW,AMKR,1250,2,0.24954652738509298,0.7791930536139661,0.16433749582702034,0.8484740547714615
B_minus1bday (reverse placebo),AMKR,3189.TW,1250,2,42.52169224604167,1.3720979929927576e-18,26.106044228915586,7.833283866904934e-12
B_minus1bday (reverse placebo),600584.SS,AMKR,1250,1,0.02228167668955441,0.8813643624624714,0.019512569637038218,0.8889295575126083
B_minus1bday (reverse placebo),AMKR,600584.SS,1250,1,20.860909091505352,5.4282403883345996e-06,15.949695917589107,6.885253645955661e-05
